Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-01-04,41.09,41.75,39.66,41.73,4982727,0.0,0
2016-01-05,42.32,43.32,41.72,42.61,2554024,0.0,0
2016-01-06,42.97,44.14,41.87,42.62,4047421,0.0,0
2016-01-07,41.43,42.47,40.73,41.24,2258307,0.0,0
2016-01-08,41.05,41.23,38.29,38.74,2456643,0.0,0
2016-01-11,37.75,38.58,36.98,37.58,4552899,0.0,0
2016-01-12,38.23,38.9,38.04,38.71,2191574,0.0,0
2016-01-13,38.7,38.86,37.93,38.27,1980630,0.0,0
2016-01-14,37.66,37.88,35.78,36.51,2516956,0.0,0
2016-01-15,36.08,36.47,34.96,35.31,2082351,0.0,0
2016-01-18,35.32,35.93,33.84,34.15,1039639,0.0,0
2016-01-19,34.98,37.08,34.95,37.08,1845598,0.0,0
2016-01-20,35.64,36.22,33.69,34.59,1776040,0.0,0
2016-01-21,35.17,35.93,34.81,35.84,1791394,0.0,0
2016-01-22,36.79,37.08,35.85,36.91,1476133,0.0,0
2016-01-25,37.46,37.48,35.79,35.79,1014895,0.0,0
2016-01-26,35.41,36.48,34.84,36.17,1397169,0.0,0
2016-01-27,36.22,36.74,35.51,36.23,991569,0.0,0
2016-01-28,36.19,36.35,34.7,34.7,1085476,0.0,0
2016-01-29,35.71,35.71,34.4,34.98,890465,0.0,0
2016-02-01,34.98,35.05,34.05,34.88,696768,0.0,0
2016-02-02,35.14,35.22,31.48,31.54,1971915,0.0,0
2016-02-03,31.54,32.91,30.58,31.49,3826104,0.0,0
2016-02-04,32.31,32.84,30.58,32.52,1328437,0.0,0
2016-02-05,33.02,33.5,32.49,32.49,1218151,0.0,0
2016-02-08,33.02,33.18,30.89,30.89,935207,0.0,0
2016-02-09,30.2,30.53,28.59,29.05,1562180,0.0,0
2016-02-10,28.73,30.89,27.81,28.95,1665071,0.0,0
2016-02-11,28.14,28.34,26.67,26.76,1845964,0.0,0
2016-02-12,27.47,28.71,26.77,28.71,1072836,0.0,0
2016-02-15,29.58,30.1,28.77,29.71,1053213,0.0,0
2016-02-16,30.07,30.07,29.09,29.83,688545,0.0,0
2016-02-17,30.17,33.26,30.04,32.92,1687005,0.0,0
2016-02-18,33.72,34.2,32.76,33.12,1928082,0.0,0
2016-02-19,32.97,33.42,32.09,32.84,941920,0.0,0
2016-02-22,33.39,34.45,33.28,34.38,1114981,0.0,0
